1;3642;313;2000.0;50 porciento carbs 30 porciento protein 20 porciento ;Manten un equilibrio entre carbohidratos proteinas y grasas para una dieta saludable.
2;3263;315;2050.0;49 porciento carbs 29 porciento protein 22 porciento ;Ajusta ligeramente la ingesta de grasas para mantener una dieta equilibrada.
3;4587;317;2100.0;51 porciento carbs 32 porciento protein 17 porciento ;Incrementa ligeramente la ingesta de carbohidratos para mejorar la energia durante el dia.
4;9845;319;2150.0;48 porciento carbs 31 porciento protein 21 porciento ;Ajusta la proporcion de proteinas para apoyar la construccion muscular y la recuperacion.
5;2134;330;2200.0;52 porciento carbs 29 porciento protein 19 porciento ;Incrementa la ingesta de carbohidratos para mejorar el rendimiento fisico.
6;5698;331;2250.0;50 porciento carbs 31 porciento protein 19 porciento ;Ajusta la proporcion de proteinas para una mejor recuperacion muscular.
7;7845;634;2300.0;49 porciento carbs 32 porciento protein 19 porciento ;Incrementa ligeramente la ingesta de proteinas para apoyar la salud muscular.
8;6521;767;2350.0;51 porciento carbs 29 porciento protein 20 porciento ;Manten un equilibrio entre carbohidratos proteinas y grasas para una dieta saludable.
9;3478;465;2400.0;53 porciento carbs 28 porciento protein 19 porciento ;Incrementa la ingesta de carbohidratos para mejorar la energia durante el dia.
10;4823;234;2450.0;50 porciento carbs 30 porciento protein 20 porciento ;Manten un equilibrio entre carbohidratos proteinas y grasas para una dieta saludable.
11;7954;243;2500.0;52 porciento carbs 31 porciento protein 17 porciento ;Incrementa la ingesta de carbohidratos para mejorar la energia durante el dia.
12;2468;678;2550.0;48 porciento carbs 32 porciento protein 20 porciento ;Ajusta la proporcion de proteinas para apoyar la construccion muscular y la recuperacion.
13;5142;461;2600.0;49 porciento carbs 30 porciento protein 21 porciento ;Ajusta la proporcion de grasas para mantener una dieta equilibrada.
14;3765;330;2650.0;53 porciento carbs 29 porciento protein 18 porciento ;Incrementa la ingesta de carbohidratos para mejorar la energia durante el dia.
15;8932;313;2700.0;50 porciento carbs 31 porciento protein 19 porciento ;Ajusta la proporcion de proteinas para una mejor recuperacion muscular.
16;1111;331;2750.0;51 porciento carbs 30 porciento protein 19 porciento ;Incrementa ligeramente la ingesta de carbohidratos para mejorar el rendimiento fisico.
17;3331;315;2800.0;49 porciento carbs 31 porciento protein 20 porciento ;Ajusta la proporcion de grasas para mantener una dieta equilibrada.
18;2222;767;2850.0;52 porciento carbs 28 porciento protein 20 porciento ;Incrementa la ingesta de carbohidratos para mejorar la energia durante el dia.
19;6410;678;2900.0;48 porciento carbs 32 porciento protein 20 porciento ;Ajusta la proporcion de proteinas para una mejor recuperacion muscular.
20;1357;634;1876.0;63 porciento carbs 27 porciento protein 10 porciento ;Incrementa ligeramente la ingesta de grasas para mantener una dieta equilibrada.
21;7954;313;1934.0;54 porciento carbs 26 porciento preotein 10 %%;Incremente los carbohidratos